parameter_label,parameter,lower_bound,upper_bound
Offset,0,0,1
Nonresonant background,0.1,-0.2,0.2
Peak1 Amplitude,0,-1,1
Peak1 Center,2850.6,2845,2860
Peak1 Tau,14.3,0,20
Peak1 Sigma,0,0,1e-15
Peak2 Amplitude,-0.4,-1,2
Peak2 Center,2878.1,2875,2885
Peak2 Tau,4.9,0,10
Peak2 Sigma,0,0,1e-15
Peak3 Amplitude,-0.5,-1,1
Peak3 Center,2892.6,2890,2910
Peak3 Tau,19.1,0,20
Peak3 Sigma,0,0,1e-15
Peak4 Amplitude,-0.5,-1,2
Peak4 Center,2939.8,2930,2940
Peak4 Tau,7.3,0,20
Peak4 Sigma,0,0,1e-15
Peak5 Amplitude,0,-1,2
Peak5 Center,2947.1,2940,2950
Peak5 Tau,0.2,0,10
Peak5 Sigma,0,0,1e-15
Peak6 Amplitude,0.3,0,1
Peak6 Center,2964.5,2955,2970
Peak6 Tau,10,0,20
Peak6 Sigma,0,0,1e-15
Peak7 Amplitude,2.2,0,15
Peak7 Center,3233.7,3100,3300
Peak7 Tau,100,50,200
Peak7 Sigma,0,0,1e-15
Peak8 Amplitude,2.2,0,8
Peak8 Center,3426.2,3380,3600
Peak8 Tau,127.1,50,200
Peak8 Sigma,0,0,1e-15
Peak9 Amplitude,-1,-1,5
Peak9 Center,3591.2,3550,3700
Peak9 Tau,98,50,200
Peak9 Sigma,0,0,1e-15
